lon,lat,id
-85.921959798995,35.200067114094,1
-85.9175376884422,35.2077181208054,2
-85.9234673366834,35.2053020134228,3
-85.925175879397,35.2057046979866,4
-85.9185427135678,35.2077181208054,5
-85.921959798995,35.206711409396,6
-85.9273869346734,35.1962416107383,7
-85.9200502512563,35.2089261744966,8
-85.9240703517588,35.203288590604,9
-85.9250753768844,35.2071140939597,10
-85.9264824120603,35.2051006711409,11
-85.9170351758794,35.2097315436242,12
-85.9215577889447,35.2097315436242,13
-85.9184422110553,35.2034899328859,14
-85.9224623115578,35.208322147651,15
-85.921256281407,35.2018791946309,16
-85.925175879397,35.203288590604,17
-85.9190452261306,35.2030872483221,18
-85.9205527638191,35.2010738255034,19
-85.9239698492462,35.1968456375839,20
-85.9172361809045,35.2042953020134,21
-85.9160301507538,35.2093288590604,22
-85.9209547738694,35.2034899328859,23
-85.9247738693467,35.1972483221477,24
-85.9145226130653,35.2036912751678,25
-85.9163316582915,35.2042953020134,26
-85.915527638191,35.2038926174497,27
-85.915527638191,35.2030872483221,28
-85.9248743718593,35.2046979865772,29
-85.9174371859296,35.2087248322148,30
-85.9263819095477,35.1954362416107,31
-85.9128140703518,35.2053020134228,32
-85.9210552763819,35.2053020134228,33
-85.9258793969849,35.2055033557047,34
-85.9258793969849,35.2069127516778,35
-85.9154271356784,35.2061073825503,36
-85.9206532663317,35.2036912751678,37
-85.9261809045226,35.2071140939597,38
-85.9169346733668,35.2091275167785,39
-85.9263819095477,35.2046979865772,40
-85.9266834170854,35.1956375838926,41
-85.9226633165829,35.203288590604,42
-85.9163316582915,35.209932885906,43
-85.9211557788945,35.208322147651,44
-85.9172361809045,35.2057046979866,45
-85.9147236180904,35.2077181208054,46
-85.9202512562814,35.2046979865772,47
-85.9257788944724,35.2057046979866,48
-85.9232663316583,35.2073154362416,49
-85.918743718593,35.2051006711409,50
